"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-produit-sante","fr-lm-produit-sante","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Produit de santé","Produit de santé","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-produit-sante.medicament","fr-lm-produit-sante.medicament","","","",1,1,"","","","Base {[]} {[]}
","Médicament","Médicament","","","","","","","","","",,,,,"",,,,"fr-lm-produit-sante.medicament",1,1,"",""
"fr-lm-produit-sante.medicament.codeProduit","fr-lm-produit-sante.medicament.codeProduit","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code du produit de santé","Code du produit de santé","","","","","","","","","",,,,,"",,,,"fr-lm-produit-sante.medicament.codeProduit",1,1,"",""
"fr-lm-produit-sante.medicament.nomProduit","fr-lm-produit-sante.medicament.nomProduit","","","",1,1,"","","","Identifier {[]} {[]}
","Nom du produit (contenant aussi le dosage et la forme galénique)","Nom du produit (contenant aussi le dosage et la forme galénique)","","","","","","","","","",,,,,"",,,,"fr-lm-produit-sante.medicament.nomProduit",1,1,"",""
"fr-lm-produit-sante.medicament.formeGalenique","fr-lm-produit-sante.medicament.formeGalenique","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Forme galénique du produit de santé","Forme galénique du produit de santé","","","","","","","","","",,,,,"",,,,"fr-lm-produit-sante.medicament.formeGalenique",0,1,"",""
"fr-lm-produit-sante.medicament.numeroLot","fr-lm-produit-sante.medicament.numeroLot","","","",0,1,"","","","string {[]} {[]}
","Numéro de lot ","Numéro de lot","","","","","","","","","",,,,,"",,,,"fr-lm-produit-sante.medicament.numeroLot",0,1,"",""
"fr-lm-produit-sante.medicament.dateExpiration","fr-lm-produit-sante.medicament.dateExpiration","","","",0,1,"","","","dateTime {[]} {[]}
","Date d'expiration du produit","Date d'expiration du produit","","","","","","","","","",,,,,"",,,,"fr-lm-produit-sante.medicament.dateExpiration",0,1,"",""
"fr-lm-produit-sante.medicament.conditionnement","fr-lm-produit-sante.medicament.conditionnement","","","",0,1,"","","","Base {[]} {[]}
","Conditionnement","Conditionnement","","","","","","","","","",,,,,"",,,,"fr-lm-produit-sante.medicament.conditionnement",0,1,"",""
"fr-lm-produit-sante.medicament.equivalentGenerique","fr-lm-produit-sante.medicament.equivalentGenerique","","","",0,*,"","","","Base {[]} {[]}
","Code de regroupement ATC","Code de regroupement ATC","","","","","","","","","",,,,,"",,,,"fr-lm-produit-sante.medicament.equivalentGenerique",0,*,"",""
"fr-lm-produit-sante.medicament.substanceActive","fr-lm-produit-sante.medicament.substanceActive","","","",0,*,"","","","Base {[]} {[]}
","Substance active","Substance active","","","","","","","","","",,,,,"",,,,"fr-lm-produit-sante.medicament.substanceActive",0,*,"",""
