"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-quantite-exposition","fr-lm-quantite-exposition","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Quantité exposition","Quantité exposition","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-quantite-exposition.identifiant","fr-lm-quantite-exposition.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-quantite-exposition.identifiant",1,1,"",""
"fr-lm-quantite-exposition.code","fr-lm-quantite-exposition.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-quantite-exposition.code",1,1,"",""
"fr-lm-quantite-exposition.description","fr-lm-quantite-exposition.description","","","",0,1,"","","","Narrative {[]} {[]}
","Partie narrative de l'observation","Partie narrative de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-quantite-exposition.description",0,1,"",""
"fr-lm-quantite-exposition.statut","fr-lm-quantite-exposition.statut","","","",1,1,"","","","code {[]} {[]}
","status de l'observation","status de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-quantite-exposition.statut",1,1,"",""
"fr-lm-quantite-exposition.date","fr-lm-quantite-exposition.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-quantite-exposition.date",0,1,"",""
"fr-lm-quantite-exposition.valeur","fr-lm-quantite-exposition.valeur","","","",1,1,"","","","Quantity {[]} {[]}
","Quantité mesurée","Quantité mesurée","","","","","","","","","",,,,,"",,,,"fr-lm-quantite-exposition.valeur",1,1,"",""
"fr-lm-quantite-exposition.lateralite","fr-lm-quantite-exposition.lateralite","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Latéralité et topographie","Latéralité et topographie","","","","","","","","","",,"","SNOMED CT (2.16.840.1.113883.6.96)","","",,,,"fr-lm-quantite-exposition.lateralite",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-quantite-exposition.lateralite.id","fr-lm-quantite-exposition.lateralite.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"fr-lm-quantite-exposition.lateralite.extension","fr-lm-quantite-exposition.lateralite.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
