Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.document.fr.core.json	201414	-	0	0	0	0	0	0	31	58	0	0	0	0	0	0	0	4	0	0	432	833	0	0	0	19	0	3
fsh-generated/resources/ConceptMap-FRActLMCDAFHIR.json	10135	7	0	0	1	0	0	0	0	5459	0	0	0	0	0	0	0	0	0	0	39	5639	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRActSubstitutionLMCDAFHIR.json	2361	5	0	0	0	0	0	0	1	779	0	0	0	0	0	0	0	0	0	0	13	915	0	0	0	0	0	1
fsh-generated/resources/ConceptMap-FRAdvanceDirectiveLMCDAFHIR.json	7671	4	0	0	0	0	0	0	0	2969	0	0	0	0	0	0	0	0	0	0	32	3596	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRAdverseEventLMCDAFHIR.json	6891	5	0	0	0	0	0	0	1	2861	0	0	0	0	0	0	0	0	0	0	29	3483	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRAllergyIntoleranceLMCDAFHIR.json	6696	3	0	0	0	0	0	0	0	3940	0	0	0	0	0	0	0	0	0	0	27	4523	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRAllowedSubstitutionLMCDAFHIR.json	2647	3	0	0	0	0	0	0	0	764	0	0	0	0	0	0	0	0	0	0	14	918	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRCarePlanLMCDAFHIR.json	5226	3	0	0	0	0	0	0	1	1970	0	0	0	0	0	0	0	0	0	0	23	2294	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRCertitudeLMCDAFHIR.json	3213	3	0	0	0	0	0	0	0	1294	0	0	0	0	0	0	0	0	0	0	12	1490	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRConditionLMCDAFHIR.json	8520	3	0	0	0	0	0	0	0	3861	0	0	0	0	0	0	0	0	0	0	24	4605	0	0	0	1	0	0
