"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-antecedents-medicaux","fr-lm-antecedents-medicaux","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Antécédents médicaux","Section Antécédents médicaux","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-antecedents-medicaux.codeSection","fr-lm-antecedents-medicaux.codeSection","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de la section","Code de la section","","","","","","","","","",,,,,"",,,,"fr-lm-section.codeSection",1,1,"",""
"fr-lm-antecedents-medicaux.titreSection","fr-lm-antecedents-medicaux.titreSection","","","",1,1,"","","","string {[]} {[]}
","Titre de la section","Titre de la section","","","","","","","","","",,,,,"",,,,"fr-lm-section.titreSection",0,1,"",""
"fr-lm-antecedents-medicaux.blocNarratif","fr-lm-antecedents-medicaux.blocNarratif","","","",1,1,"","","","Narrative {[]} {[]}
","Bloc narratif","Bloc narratif","","","","","","","","","",,,,,"",,,,"fr-lm-section.blocNarratif",1,1,"",""
"fr-lm-antecedents-medicaux.author[x]","fr-lm-antecedents-medicaux.author[x]","","","",0,*,"","","","Base {[]} {[]}
","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x]",0,*,"",""
"fr-lm-antecedents-medicaux.author[x].authorProfessional","fr-lm-antecedents-medicaux.author[x].authorProfessional","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
","L'auteur est un professionnel de santé","L'auteur est un professionnel de santé","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorProfessional",0,*,"",""
"fr-lm-antecedents-medicaux.author[x].authorOrganisation","fr-lm-antecedents-medicaux.author[x].authorOrganisation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-organisation {[]} {[]}
","L'auteur est une organisation","L'auteur est une organisation","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorOrganisation",0,*,"",""
"fr-lm-antecedents-medicaux.author[x].authorDevice","fr-lm-antecedents-medicaux.author[x].authorDevice","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-device {[]} {[]}
","L'auteur est un système","L'auteur est un système","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorDevice",0,*,"",""
"fr-lm-antecedents-medicaux.informant","fr-lm-antecedents-medicaux.informant","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-informant {[]} {[]}
","Informateur","Informateur","","","","","","","","","",,,,,"",,,,"fr-lm-section.informant",0,*,"",""
"fr-lm-antecedents-medicaux.sousSection","fr-lm-antecedents-medicaux.sousSection","","","",0,0,"","","","Base {[]} {[]}
","Sous-sections","Sous-sections","","","","","","","","","",,,,,"",,,,"fr-lm-section.sousSection",0,*,"",""
"fr-lm-antecedents-medicaux.entree","fr-lm-antecedents-medicaux.entree","","","",1,*,"","","","Base {[]} {[]}
","Entrées","Entrées","","","","","","","","","",,,,,"",,,,"fr-lm-section.entree",0,*,"",""
"fr-lm-antecedents-medicaux.entree.problemes","fr-lm-antecedents-medicaux.entree.problemes","","","",1,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-condition {[]} {[]}
","Entrée Problème","Entrée Problème","","","","","","","","","",,,,,"",,,,"fr-lm-antecedents-medicaux.entree.problemes",1,*,"",""
