"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-traitement-prescrit","fr-lm-traitement-prescrit","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Traitement Prescrit","Traitement prescrit","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-traitement-prescrit.identifiant","fr-lm-traitement-prescrit.identifiant","","","",1,*,"","","","Identifier {[]} {[]}
","Identifiant","Identifiant","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-prescrit.identifiant",1,*,"",""
"fr-lm-traitement-prescrit.status","fr-lm-traitement-prescrit.status","","","",1,1,"","","","code {[]} {[]}
","Statut","Statut","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-prescrit.status",1,1,"",""
"fr-lm-traitement-prescrit.produitSante","fr-lm-traitement-prescrit.produitSante","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-produit-sante {[]} {[]}
","Produit de santé","Produit de santé","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-prescrit.produitSante",1,1,"",""
"fr-lm-traitement-prescrit.indication[x]","fr-lm-traitement-prescrit.indication[x]","","","",0,*,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Motif du traitement","Motif du traitement","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-prescrit.indication[x]",0,*,"",""
"fr-lm-traitement-prescrit.finaliteTherapeutique","fr-lm-traitement-prescrit.finaliteTherapeutique","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Objet de la prescription - prophylaxie, traitement, anesthésie, etc","Objet de la prescription - prophylaxie, traitement, anesthésie, etc","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-prescrit.finaliteTherapeutique",0,1,"",""
"fr-lm-traitement-prescrit.dureeTraitement","fr-lm-traitement-prescrit.dureeTraitement","","","",0,1,"","","","dateTime {[]} {[]}
","Durée du traitement","Durée du traitement","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-prescrit.dureeTraitement",0,1,"",""
"fr-lm-traitement-prescrit.posologie","fr-lm-traitement-prescrit.posologie","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-posologie {[]} {[]}
","Posologie","Posologie","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-prescrit.posologie",1,1,"",""
"fr-lm-traitement-prescrit.quantiteProduit","fr-lm-traitement-prescrit.quantiteProduit","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-quantite-produit {[]} {[]}
","Quantite de produit","Quantite de produit","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-prescrit.quantiteProduit",0,1,"",""
"fr-lm-traitement-prescrit.periodeValiditeLignePrescription","fr-lm-traitement-prescrit.periodeValiditeLignePrescription","","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/organization-period]]} {[]}
","Periode de validité de la ligne de prescription","Periode de validité de la ligne de prescription","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-prescrit.periodeValiditeLignePrescription",0,1,"",""
