Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.document.fr.core.json	150701	-	0	0	0	0	0	0	30	78	0	0	0	0	0	0	0	44	0	0	324	540	0	0	0	15	0	2
fsh-generated/resources/ConceptMap-FRActLMCDAFHIR.json	10135	14	0	0	0	0	0	0	1	11402	0	0	0	0	0	0	0	0	0	0	53	9156	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRAdvanceDirectiveLMCDAFHIR.json	7671	12	0	0	0	0	0	0	1	6756	0	0	0	0	0	0	0	0	0	0	38	5874	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRAdverseEventLMCDAFHIR.json	6891	10	0	0	0	0	0	0	1	6355	0	0	0	0	0	0	0	0	0	0	34	6209	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRAllergyIntoleranceLMCDAFHIR.json	6696	11	0	0	1	0	0	0	0	8743	0	0	0	0	0	0	0	1	0	0	34	8259	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRCarePlanLMCDAFHIR.json	5226	10	0	0	0	0	0	0	1	5288	0	0	0	0	0	0	0	0	0	0	31	3840	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRConditionLMCDAFHIR.json	8520	12	0	0	0	0	0	0	1	8821	0	0	0	0	0	0	0	0	0	0	37	7720	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRDeviceRequestLMCDAFHIR.json	7653	11	0	0	0	0	0	0	0	7419	0	0	0	0	0	0	0	0	0	0	35	6447	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRDeviceUseStatementLMCDAFHIR.json	5476	10	0	0	0	0	0	0	1	5062	0	0	0	0	0	0	0	0	0	0	43	4187	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRDiagnosticReportLMCDAFHIR.json	4677	11	0	0	0	0	0	0	0	4658	0	0	0	0	0	0	0	0	0	0	34	3512	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRDocumentReferenceLMCDAFHIR.json	5388	11	0	0	0	0	0	0	1	4992	0	0	0	0	0	0	0	0	0	0	30	4496	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FREncounterLMCDAFHIR.json	6109	10	0	0	1	0	0	0	1	6269	0	0	0	0	0	0	0	1	0	0	39	5891	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRFamilyMemberHistoriesLMCDAFHIR.json	5329	11	0	0	0	0	0	0	0	4728	0	0	0	0	0	0	0	0	0	0	38	3878	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRFamilyMemberHistoryLMCDAFHIR.json	6727	10	0	0	0	0	0	0	1	6695	0	0	0	0	0	0	0	0	0	0	37	5852	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRImagingStudyLMCDAFHIR.json	4624	11	0	0	0	0	0	0	1	3975	0	0	0	0	0	0	0	0	0	0	29	3569	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRImmunizationLMCDAFHIR.json	8134	10	0	0	0	0	0	0	0	9119	0	0	0	0	0	0	0	0	0	0	35	7141	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRImmunizationRecommendationLMCDAFHIR.json	7895	11	0	0	0	0	0	0	1	7741	0	0	0	0	0	0	0	0	0	0	35	6892	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRMediaLMCDAFHIR.json	7782	11	0	0	0	0	0	0	1	8535	0	0	0	0	0	0	0	0	0	0	61	7569	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRMedicationAdministrationLMCDAFHIR.json	9968	12	0	0	1	0	0	0	1	9958	0	0	0	0	0	0	0	0	0	0	64	8195	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRMedicationDispenseLMCDAFHIR.json	6824	10	0	0	0	0	0	0	1	9175	0	0	0	0	0	0	0	0	0	0	45	8386	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRMedicationLMCDAFHIR.json	7344	11	0	0	0	0	0	0	0	6909	0	0	0	0	0	0	0	0	0	0	33	6001	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRMedicationRequestLMCDAFHIR.json	17623	11	0	0	0	0	0	0	2	17348	0	0	0	0	0	0	0	0	0	0	52	13914	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRMedicationStatementLMCDAFHIR.json	9253	11	0	0	0	0	0	0	1	13874	0	0	0	0	0	0	0	0	0	0	40	8180	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRMedicationsCombinaisonLMCDAFHIR.json	4298	10	0	0	0	0	0	0	0	3568	0	0	0	0	0	0	0	0	0	0	29	2842	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRMedicationsCombinaisonRequestLMCDAFHIR.json	4464	11	0	0	0	0	0	0	1	3564	0	0	0	0	0	0	0	0	0	0	37	3202	0	0	0	1	0	1
fsh-generated/resources/ConceptMap-FRObservationAdministrationBloodDerivativesLMCDAFHIR.json	5403	10	0	0	0	0	0	0	0	4517	0	0	0	0	0	0	0	1	0	0	30	3843	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRObservationBirthEventLMCDAFHIR.json	3990	10	0	0	1	0	0	0	1	3888	0	0	0	0	0	0	0	0	0	0	27	3144	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-mappingAuteurCDAFHIR.json	3968	11	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	27	62	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-mappingConsentementCDAFHIR.json	3164	10	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	31	34	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-mappingDestinatairePrevuCDAFHIR.json	6120	11	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	37	31	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-mappingDocumentDeReferenceCDAFHIR.json	2572	10	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	31	30	0	0	0	0	0	0
