Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.document.fr.core.json	280551	-	0	0	0	0	0	0	32	100	0	0	0	0	1	0	0	4	0	0	0	563	1639	0	0	0	22	0	3
fsh-generated/resources/AllergyIntolerance-example-allergy-intolerance-data-absent-reason.json	1491	6	0	0	1	0	0	0	1	1178	0	0	0	0	0	0	0	0	0	0	0	19	27	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRActSubstitutionLMCDAFHIR.json	2361	4	0	0	0	0	0	0	0	554	0	0	0	0	0	0	0	1	0	0	0	21	987	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRAdvanceDirectiveLMCDAFHIR.json	7671	5	0	0	1	0	0	0	1	1802	0	0	0	0	1	0	0	0	0	0	0	33	3546	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRAdverseEventLMCDAFHIR.json	6891	4	0	0	0	0	0	0	0	1823	0	0	0	0	0	0	0	0	0	0	0	30	3478	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRAllergyIntoleranceLMCDAFHIR.json	6696	4	0	0	0	0	0	0	1	1713	0	0	0	0	1	0	0	0	0	0	0	31	3241	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRAllowedSubstitutionLMCDAFHIR.json	2647	3	0	0	0	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0	17	857	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRCarePlanLMCDAFHIR.json	5226	3	0	0	0	0	0	0	1	1212	0	0	0	0	1	0	0	0	0	0	0	23	2332	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRCertitudeLMCDAFHIR.json	3213	2	0	0	0	0	0	0	0	1097	0	0	0	0	0	0	0	0	0	0	0	19	2071	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRConditionLMCDAFHIR.json	8520	3	0	0	0	0	0	0	1	2404	0	0	0	0	0	0	0	0	0	0	0	31	4753	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRCriticiteLMCDAFHIR.json	2669	2	0	0	0	0	0	0	0	1129	0	0	0	0	1	1	0	0	0	0	0	18	2058	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRDeviceRequestLMCDAFHIR.json	7653	2	0	0	1	0	0	0	1	1947	0	0	0	0	0	0	0	0	0	0	0	28	3686	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRDeviceUseStatementLMCDAFHIR.json	5476	2	0	0	0	0	0	0	0	1164	0	0	0	0	1	0	0	0	0	0	0	24	2346	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRDiagnosticReportLMCDAFHIR.json	4677	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	22	31	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRDocumentReferenceLMCDAFHIR.json	5388	2	0	0	0	0	0	0	0	1335	0	0	0	0	1	0	0	0	0	0	0	24	2617	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FREncounterLMCDAFHIR.json	6109	3	0	0	0	0	0	0	1	1676	0	0	0	0	0	0	0	0	0	0	0	24	3288	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRFamilyMemberHistoriesLMCDAFHIR.json	5329	2	0	0	0	0	0	0	1	821	0	0	0	0	1	0	0	0	0	0	0	24	1484	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRFamilyMemberHistoryLMCDAFHIR.json	6727	2	0	0	1	0	0	0	0	1651	0	0	0	0	0	0	0	0	0	0	0	32	3108	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRImagingMedicationAministrationLMCDAFHIR.json	6756	2	0	0	0	0	0	0	1	1776	0	0	0	0	0	0	0	0	0	0	0	32	3495	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRImagingProcedureLMCDAFHIR.json	5408	2	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	35	23	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRImagingQuantityLMCDAFHIR.json	4324	2	0	0	0	0	0	0	1	924	0	0	0	0	0	0	0	0	0	0	0	20	1710	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRImagingRadiationExposureAuthorizationLMCDAFHIR.json	2622	2	0	0	0	0	0	0	0	489	0	0	0	0	0	0	0	0	0	0	0	17	857	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRImagingSeriesLMCDAFHIR.json	6291	2	0	0	0	0	0	0	0	1617	0	0	0	0	0	0	0	0	0	0	0	24	2921	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRImagingStudyLMCDAFHIR.json	4622	2	0	0	0	0	0	0	1	1084	0	0	0	0	0	0	0	0	0	0	0	22	2058	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRImmunizationLMCDAFHIR.json	8134	3	0	0	0	0	0	0	1	2221	0	0	0	0	1	0	0	0	0	0	0	28	4359	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRImmunizationRecommendationLMCDAFHIR.json	7895	2	0	0	0	0	0	0	0	1932	0	0	0	0	0	0	0	0	0	0	0	28	3719	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRLaboratoryBatteryResultsLMCDAFHIR.json	9671	3	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	34	36	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRLaboratoryIsolateResultsLMCDAFHIR.json	11690	4	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	35	44	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRLaboratoryResultClinicalElementLMCDAFHIR.json	11984	3	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	37	126	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRLaboratoryResultsLMCDAFHIR.json	11126	3	0	0	0	0	0	0	1	4464	0	0	0	0	0	0	0	0	0	0	0	34	8649	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRMediaLMCDAFHIR.json	7992	3	0	0	0	0	0	0	1	2196	0	0	0	0	0	0	0	1	0	0	0	27	4286	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRMedicationAdministrationLMCDAFHIR.json	9968	4	0	0	0	0	0	0	1	2845	0	0	0	0	0	0	0	0	0	0	0	32	5483	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRMedicationDispenseLMCDAFHIR.json	6824	3	0	0	0	0	0	0	1	1654	0	0	0	0	1	0	0	0	0	0	0	32	3217	0	0	0	0	0	1
fsh-generated/resources/ConceptMap-FRMedicationLMCDAFHIR.json	7344	3	0	0	0	0	0	0	0	1621	0	0	0	0	0	0	1	0	0	0	0	26	3187	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRMedicationRequestLMCDAFHIR.json	17623	4	0	0	0	0	0	0	2	4660	0	0	0	0	0	0	0	0	0	0	0	47	9097	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRMedicationStatementLMCDAFHIR.json	9253	3	0	0	0	0	0	0	1	2579	0	0	0	0	0	0	0	0	0	0	0	30	5109	0	0	0	0	0	0
