"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-personne-structure","fr-lm-personne-structure","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Personne et/ou Structure","Une personne (professionnel ou patient ou autre) et/ou une structure (pour les professionnels).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-personne-structure.personne","fr-lm-personne-structure.personne","","","",0,1,"","","","Base {[]} {[]}
","Personne","Personne","","","","","","","","","",,,,,"",,,,"fr-lm-personne-structure.personne",0,1,"",""
"fr-lm-personne-structure.personne.identifiantPersonne","fr-lm-personne-structure.personne.identifiantPersonne","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant de la personne.
- obligatoire pour les professionnels et les patients.","Identifiant de la personne.
- obligatoire pour les professionnels et les patients.","","","","","","","","","",,,,,"",,,,"fr-lm-personne-structure.personne.identifiantPersonne",0,1,"",""
"fr-lm-personne-structure.personne.professionRole","fr-lm-personne-structure.personne.professionRole","","","",0,1,"","","","CodeableConcept {[]} {[]}
","
- Profession pour les professionnels.
- Rôle pour les non professionnels.","
- Profession pour les professionnels.
- Rôle pour les non professionnels.","","","","","","","","","",,,,,"",,,,"fr-lm-personne-structure.personne.professionRole",0,1,"",""
"fr-lm-personne-structure.personne.lien","fr-lm-personne-structure.personne.lien","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Lien de la personne avec le patient/usager","Lien de la personne avec le patient/usager","","","","","","","","","",,,,,"",,,,"fr-lm-personne-structure.personne.lien",0,1,"",""
"fr-lm-personne-structure.personne.adresse","fr-lm-personne-structure.personne.adresse","","","",0,*,"","","","Address {[]} {[]}
","Adresse géopostale","Adresse géopostale","","","","","","","","","",,,,,"",,,,"fr-lm-personne-structure.personne.adresse",0,*,"",""
"fr-lm-personne-structure.personne.coordonneesTelecom","fr-lm-personne-structure.personne.coordonneesTelecom","","","",0,*,"","","","ContactPoint {[]} {[]}
","Coordonnées télécom","Coordonnées télécom","","","","","","","","","",,,,,"",,,,"fr-lm-personne-structure.personne.coordonneesTelecom",0,*,"",""
"fr-lm-personne-structure.personne.IdentitePersonne","fr-lm-personne-structure.personne.IdentitePersonne","","","",0,1,"","","","Base {[]} {[]}
","Identité de la personne","Identité de la personne","","","","","","","","","",,,,,"",,,,"fr-lm-personne-structure.personne.IdentitePersonne",0,1,"",""
"fr-lm-personne-structure.personne.IdentitePersonne.nomPersonne","fr-lm-personne-structure.personne.IdentitePersonne.nomPersonne","","","",1,*,"","","","Base {[]} {[]}
","Nom de la personne","Nom de la personne","","","","","","","","","",,,,,"",,,,"fr-lm-personne-structure.personne.IdentitePersonne.nomPersonne",1,*,"",""
"fr-lm-personne-structure.personne.IdentitePersonne.prenomPersonne","fr-lm-personne-structure.personne.IdentitePersonne.prenomPersonne","","","",0,*,"","","","string {[]} {[]}
","Prénom de la personne","Prénom de la personne","","","","","","","","","",,,,,"",,,,"fr-lm-personne-structure.personne.IdentitePersonne.prenomPersonne",0,*,"",""
"fr-lm-personne-structure.personne.IdentitePersonne.civilite","fr-lm-personne-structure.personne.IdentitePersonne.civilite","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Civilité","Civilité","","","","","","","","","",,,,,"",,,,"fr-lm-personne-structure.personne.IdentitePersonne.civilite",0,1,"",""
"fr-lm-personne-structure.personne.IdentitePersonne.titre","fr-lm-personne-structure.personne.IdentitePersonne.titre","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Titre","Titre","","","","","","","","","",,,,,"",,,,"fr-lm-personne-structure.personne.IdentitePersonne.titre",0,1,"",""
"fr-lm-personne-structure.structure","fr-lm-personne-structure.structure","","","",0,1,"","","","Base {[]} {[]}
","Structure","Structure","","","","","","","","","",,,,,"",,,,"fr-lm-personne-structure.structure",0,1,"",""
"fr-lm-personne-structure.structure.identifiantStructure","fr-lm-personne-structure.structure.identifiantStructure","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant de la structure","Identifiant de la structure","","","","","","","","","",,,,,"",,,,"fr-lm-personne-structure.structure.identifiantStructure",0,1,"",""
"fr-lm-personne-structure.structure.nomStructure","fr-lm-personne-structure.structure.nomStructure","","","",0,1,"","","","string {[]} {[]}
","Nom de la structure","Nom de la structure","","","","","","","","","",,,,,"",,,,"fr-lm-personne-structure.structure.nomStructure",0,1,"",""
"fr-lm-personne-structure.structure.adresse","fr-lm-personne-structure.structure.adresse","","","",0,*,"","","","Address {[]} {[]}
","Adresse géopostale","Adresse géopostale","","","","","","","","","",,,,,"",,,,"fr-lm-personne-structure.structure.adresse",0,*,"",""
"fr-lm-personne-structure.structure.coordonneesTelecom","fr-lm-personne-structure.structure.coordonneesTelecom","","","",0,*,"","","","ContactPoint {[]} {[]}
","Coordonnées télécom","Coordonnées télécom","","","","","","","","","",,,,,"",,,,"fr-lm-personne-structure.structure.coordonneesTelecom",0,*,"",""
"fr-lm-personne-structure.structure.cadreExercice","fr-lm-personne-structure.structure.cadreExercice","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Cadre d'exercice","Cadre d'exercice","","","","","","","","","",,,,,"",,,,"fr-lm-personne-structure.structure.cadreExercice",0,1,"",""
