"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-facteurs-de-risque-professionnels-non-code","fr-lm-facteurs-de-risque-professionnels-non-code","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Facteurs de risque professionnels non code","Section Facteurs de risque professionnels non code","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-facteurs-de-risque-professionnels-non-code.codeSection","fr-lm-facteurs-de-risque-professionnels-non-code.codeSection","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de la section","Code de la section","","","","","","","","","",,,,,"",,,,"fr-lm-section.codeSection",1,1,"",""
"fr-lm-facteurs-de-risque-professionnels-non-code.titreSection","fr-lm-facteurs-de-risque-professionnels-non-code.titreSection","","","",0,1,"","","","string {[]} {[]}
","Titre de la section","Titre de la section","","","","","","","","","",,,,,"",,,,"fr-lm-section.titreSection",0,1,"",""
"fr-lm-facteurs-de-risque-professionnels-non-code.blocNarratif","fr-lm-facteurs-de-risque-professionnels-non-code.blocNarratif","","","",1,1,"","","","Narrative {[]} {[]}
","Bloc narratif","Bloc narratif","","","","","","","","","",,,,,"",,,,"fr-lm-section.blocNarratif",1,1,"",""
"fr-lm-facteurs-de-risque-professionnels-non-code.author[x]","fr-lm-facteurs-de-risque-professionnels-non-code.author[x]","","","",0,*,"","","","Base {[]} {[]}
","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x]",0,*,"",""
"fr-lm-facteurs-de-risque-professionnels-non-code.author[x].authorProfessional","fr-lm-facteurs-de-risque-professionnels-non-code.author[x].authorProfessional","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
","L'auteur est un professionnel de santé","L'auteur est un professionnel de santé","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorProfessional",0,*,"",""
"fr-lm-facteurs-de-risque-professionnels-non-code.author[x].authorOrganisation","fr-lm-facteurs-de-risque-professionnels-non-code.author[x].authorOrganisation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-organisation {[]} {[]}
","L'auteur est une organisation","L'auteur est une organisation","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorOrganisation",0,*,"",""
"fr-lm-facteurs-de-risque-professionnels-non-code.author[x].authorDevice","fr-lm-facteurs-de-risque-professionnels-non-code.author[x].authorDevice","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-device {[]} {[]}
","L'auteur est un système","L'auteur est un système","","","","","","","","","",,,,,"",,,,"fr-lm-section.author[x].authorDevice",0,*,"",""
"fr-lm-facteurs-de-risque-professionnels-non-code.informant","fr-lm-facteurs-de-risque-professionnels-non-code.informant","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-informant {[]} {[]}
","Informateur","Informateur","","","","","","","","","",,,,,"",,,,"fr-lm-section.informant",0,*,"",""
"fr-lm-facteurs-de-risque-professionnels-non-code.sousSection","fr-lm-facteurs-de-risque-professionnels-non-code.sousSection","","","",0,0,"","","","Base {[]} {[]}
","Sous-sections","Sous-sections","","","","","","","","","",,,,,"",,,,"fr-lm-section.sousSection",0,*,"",""
"fr-lm-facteurs-de-risque-professionnels-non-code.entree","fr-lm-facteurs-de-risque-professionnels-non-code.entree","","","",0,0,"","","","Base {[]} {[]}
","Entrées","Entrées","","","","","","","","","",,,,,"",,,,"fr-lm-section.entree",0,*,"",""
